Quantify Compound Summary Report 

Printed Mon Nov 30 16:28:57 2020

Compound 1:  tryptophan

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
1	1	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_1	CABIN_TRYPTOPHAN_P3_151020_SingleBlank_1	Blank		3.77	87.751	104873.617	0.008	bb	38.1	
2	2	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_2	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_2	Blank		3.76	1.383	3.678	3.760	bb	628.0	
3	3	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_3	CABIN_TRYPTOPHAN_P3_151020_Cal8_1	Standard	200.000	3.76	10303.098	94579.961	1.089	MM	208.1	4.0
4	4	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_4	CABIN_TRYPTOPHAN_P3_151020_Cal7_1	Standard	400.000	3.74	22186.820	101667.844	2.182	MM	379.9	-5.0
5	5	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_5	CABIN_TRYPTOPHAN_P3_151020_Cal6_1	Standard	800.000	3.75	40220.891	89810.625	4.478	MM	740.9	-7.4
6	6	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_6	CABIN_TRYPTOPHAN_P3_151020_Cal5_1	Standard	2000.000	3.76	99001.992	85141.070	11.628	MM	1864.8	-6.8
7	7	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_7	CABIN_TRYPTOPHAN_P3_151020_Cal4_1	Standard	3000.000	3.75	154483.203	80634.945	19.158	MM	3048.7	1.6
8	8	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_8	CABIN_TRYPTOPHAN_P3_151020_Cal3_1	Standard	5000.000	3.75	249198.109	75174.930	33.149	MM	5248.1	5.0
9	9	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_9	CABIN_TRYPTOPHAN_P3_151020_Cal2_1	Standard	10000.000	3.74	575015.188	87642.438	65.609	MM	10351.1	3.5
10	10	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_10	CABIN_TRYPTOPHAN_P3_151020_Cal1_1	Standard	20000.000	3.73	1251849.000	99509.227	125.802	MM	19814.0	-0.9
11	11	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_11	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_3	Blank		3.75	13.086	12.233	10.697	bb	1718.5	
12	12	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_12	CABIN_TRYPTOPHAN_P3_151020_8_4CAB0.33	Analyte		3.75	561662.125	94370.656	59.517	MM	9393.3	
13	13	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_13	CABIN_TRYPTOPHAN_P3_151020_8_5CAB0.37	Analyte		3.74	690049.000	89976.898	76.692	MM	12093.4	
14	14	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_14	CABIN_TRYPTOPHAN_P3_151020_8_3CAB0.28	Analyte		3.75	590851.813	92425.906	63.927	MM	10086.7	
15	15	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_15	CABIN_TRYPTOPHAN_P3_151020_31_2CAB1.12	Analyte		3.75	529910.438	91412.516	57.969	MM	9150.1	
